instance,num_incorrect,cost,time
500_r0c14_nw1000_ew10_0.rgg,0,8148,0.1259
500_r0c14_nw1000_ew10_1.rgg,0,7723,0.1167
500_r0c14_nw1000_ew10_2.rgg,0,6313,0.1260
500_r0c14_nw1000_ew10_3.rgg,0,6659,0.1427
500_r0c14_nw1000_ew10_4.rgg,0,8308,0.1224
500_r0c14_nw1000_ew10_5.rgg,0,6599,0.1205
500_r0c14_nw1000_ew10_6.rgg,0,8174,0.1325
500_r0c14_nw1000_ew10_7.rgg,0,5699,0.1154
500_r0c14_nw1000_ew10_8.rgg,0,6113,0.1165
500_r0c14_nw1000_ew10_9.rgg,0,8107,0.1131
500_r0c14_nw100_ew100_0.rgg,0,16067,0.1163
500_r0c14_nw100_ew100_1.rgg,0,15748,0.1103
500_r0c14_nw100_ew100_2.rgg,0,16985,0.1179
500_r0c14_nw100_ew100_3.rgg,0,15617,0.1177
500_r0c14_nw100_ew100_4.rgg,0,15204,0.1121
500_r0c14_nw100_ew100_5.rgg,0,16066,0.1198
500_r0c14_nw100_ew100_6.rgg,0,15389,0.1139
500_r0c14_nw100_ew100_7.rgg,0,15732,0.1214
500_r0c14_nw100_ew100_8.rgg,0,15250,0.1239
500_r0c14_nw100_ew100_9.rgg,0,16199,0.1113
500_r0c14_nw10_ew1000_0.rgg,0,148438,0.1189
500_r0c14_nw10_ew1000_1.rgg,0,146753,0.1143
500_r0c14_nw10_ew1000_2.rgg,0,135668,0.1230
500_r0c14_nw10_ew1000_3.rgg,0,132101,0.1261
500_r0c14_nw10_ew1000_4.rgg,0,143615,0.1255
500_r0c14_nw10_ew1000_5.rgg,0,137377,0.1297
500_r0c14_nw10_ew1000_6.rgg,0,137461,0.1196
500_r0c14_nw10_ew1000_7.rgg,0,137681,0.1311
500_r0c14_nw10_ew1000_8.rgg,0,142890,0.1193
500_r0c14_nw10_ew1000_9.rgg,0,132780,0.1264
