instance,num_incorrect,cost,time,winner
1000_r0c14_nw1000_ew10_0.rgg,0,5682.0000,10.0421,LP_Rounding
1000_r0c14_nw1000_ew10_1.rgg,0,6677.0000,10.4116,LP_Rounding
1000_r0c14_nw1000_ew10_2.rgg,0,6441.0000,10.1847,LP_Rounding
1000_r0c14_nw1000_ew10_3.rgg,0,5856.0000,10.0567,LP_Rounding
1000_r0c14_nw1000_ew10_4.rgg,0,6290.0000,10.8777,LP_Rounding
1000_r0c14_nw1000_ew10_5.rgg,0,5895.0000,9.7985,LP_Rounding
1000_r0c14_nw1000_ew10_6.rgg,0,5798.0000,9.8080,LP_Rounding
1000_r0c14_nw1000_ew10_7.rgg,0,6695.0000,10.1497,LP_Rounding
1000_r0c14_nw1000_ew10_8.rgg,0,5717.0000,10.0138,LP_Rounding
1000_r0c14_nw1000_ew10_9.rgg,0,6076.0000,10.0370,LP_Rounding
1000_r0c14_nw100_ew100_0.rgg,0,28846.0000,10.3338,Clique_Size
1000_r0c14_nw100_ew100_1.rgg,0,29060.0000,10.0936,Clique_Size
1000_r0c14_nw100_ew100_2.rgg,0,28543.0000,10.1960,Clique_Cost
1000_r0c14_nw100_ew100_3.rgg,0,28880.0000,10.9083,Clique_Size
1000_r0c14_nw100_ew100_4.rgg,0,29260.0000,9.9461,Clique_Size
1000_r0c14_nw100_ew100_5.rgg,0,28658.0000,10.7073,Clique_Size
1000_r0c14_nw100_ew100_6.rgg,0,27591.0000,10.7954,Clique_Cost
1000_r0c14_nw100_ew100_7.rgg,0,28881.0000,11.4678,Clique_Size
1000_r0c14_nw100_ew100_8.rgg,0,29424.0000,11.1883,Clique_Size
1000_r0c14_nw100_ew100_9.rgg,0,28567.0000,10.7504,Clique_Size
1000_r0c14_nw10_ew1000_0.rgg,0,261162.0000,10.3249,Clique_Size
1000_r0c14_nw10_ew1000_1.rgg,0,260565.0000,11.0344,Clique_Cost
1000_r0c14_nw10_ew1000_2.rgg,0,253602.0000,10.9908,Clique_Size
1000_r0c14_nw10_ew1000_3.rgg,0,274594.0000,10.7837,Clique_Size
1000_r0c14_nw10_ew1000_4.rgg,0,264363.0000,11.4630,Clique_Size
1000_r0c14_nw10_ew1000_5.rgg,0,267899.0000,11.8993,Clique_Size
1000_r0c14_nw10_ew1000_6.rgg,0,270196.0000,11.5085,Clique_Size
1000_r0c14_nw10_ew1000_7.rgg,0,268931.0000,11.3060,Clique_Size
1000_r0c14_nw10_ew1000_8.rgg,0,254746.0000,11.5309,Clique_Size
1000_r0c14_nw10_ew1000_9.rgg,0,251031.0000,10.8332,Clique_Size
