instance,best_obj,best_bound,gap_percent,total_time
500_r0c14_nw1000_ew10_0.rgg,4550,4550,0,0.4211
500_r0c14_nw1000_ew10_1.rgg,4983,4983,0,0.53
500_r0c14_nw1000_ew10_2.rgg,4798,4798,0,0.7594
500_r0c14_nw1000_ew10_3.rgg,4623,4623,0,0.395
500_r0c14_nw1000_ew10_4.rgg,4722,4722,0,0.3363
500_r0c14_nw1000_ew10_5.rgg,4937,4937,0,0.5317
500_r0c14_nw1000_ew10_6.rgg,4769,4769,0,0.4561
500_r0c14_nw1000_ew10_7.rgg,4296,4296,0,0.3146
500_r0c14_nw1000_ew10_8.rgg,4838,4838,0,0.8878
500_r0c14_nw1000_ew10_9.rgg,5070,5070,0,0.3188
500_r0c14_nw100_ew100_0.rgg,13124,12660,3.54,1500.305
500_r0c14_nw100_ew100_1.rgg,13244,12673,4.31,1500.0725
500_r0c14_nw100_ew100_2.rgg,13823,13341,3.49,1500.1126
500_r0c14_nw100_ew100_3.rgg,13155,12592,4.28,1501.7225
500_r0c14_nw100_ew100_4.rgg,13530,12796,5.42,1500.1916
500_r0c14_nw100_ew100_5.rgg,13173,12987,1.41,1500.1564
500_r0c14_nw100_ew100_6.rgg,13511,13078,3.2,1500.0951
