instance,best_obj,lower_bound,gap_percent,total_time
400_r0c14_nw1000_ew10_0.rgg,3842,3842,0,0.3804
400_r0c14_nw1000_ew10_1.rgg,4229,4229,0,0.4492
400_r0c14_nw1000_ew10_2.rgg,4261,4261,0,0.4013
400_r0c14_nw1000_ew10_3.rgg,3814,3814,0,0.3657
400_r0c14_nw1000_ew10_4.rgg,4071,4071,0,0.4912
400_r0c14_nw1000_ew10_5.rgg,4411,4411,0,0.4004
400_r0c14_nw1000_ew10_6.rgg,4597,4597,0,0.7653
400_r0c14_nw1000_ew10_7.rgg,4870,4870,0,0.5491
400_r0c14_nw1000_ew10_8.rgg,4141,4141,0,0.3996
400_r0c14_nw1000_ew10_9.rgg,4940,4940,0,0.784
400_r0c14_nw100_ew100_0.rgg,10428,10428,0,232.8152
400_r0c14_nw100_ew100_1.rgg,10447,10447,0,234.5504
400_r0c14_nw100_ew100_2.rgg,10460,10460,0,163.7298
400_r0c14_nw100_ew100_3.rgg,10819,10819,0,229.9511
400_r0c14_nw100_ew100_4.rgg,10841,10841,0,166.3902
400_r0c14_nw100_ew100_5.rgg,10879,10879,0,301.0412
400_r0c14_nw100_ew100_6.rgg,10725,10725,0,433.0892
400_r0c14_nw100_ew100_7.rgg,10788,10788,0,117.7912
400_r0c14_nw100_ew100_8.rgg,10336,10336,0,186.2807
400_r0c14_nw100_ew100_9.rgg,10685,10685,0,280.2601
400_r0c14_nw10_ew1000_0.rgg,83983,83983,0,339.0759
400_r0c14_nw10_ew1000_1.rgg,89751.0000,89751.0000,0.00,588.8799
400_r0c14_nw10_ew1000_2.rgg,90057.0000,90057.0000,0.00,1139.0240
400_r0c14_nw10_ew1000_3.rgg,89255.0000,86448.0000,3.14,1200.2598
400_r0c14_nw10_ew1000_4.rgg,89735.0000,87015.0000,3.03,1200.2188
400_r0c14_nw10_ew1000_5.rgg,88006.0000,88006.0000,0.00,980.4374
400_r0c14_nw10_ew1000_6.rgg,86304.0000,86304.0000,0.00,563.5847
400_r0c14_nw10_ew1000_7.rgg,89915.0000,89915.0000,0.00,525.4894
400_r0c14_nw10_ew1000_8.rgg,87127.0000,87127.0000,0.00,185.7448
400_r0c14_nw10_ew1000_9.rgg,88809.0000,88809.0000,0.00,125.9833
