instance,best_obj,lower_bound,gap_percent,total_time
300_r0c14_nw1000_ew10_0.rgg,3480,3480,0,0.2231
300_r0c14_nw1000_ew10_1.rgg,4892,4892,0,0.2099
300_r0c14_nw1000_ew10_2.rgg,4549,4549,0,0.1831
300_r0c14_nw1000_ew10_3.rgg,4791,4791,0,0.2055
300_r0c14_nw1000_ew10_4.rgg,5303,5303,0,0.1778
300_r0c14_nw1000_ew10_5.rgg,4754,4754,0,0.2301
300_r0c14_nw1000_ew10_6.rgg,4403,4403,0,0.2198
300_r0c14_nw1000_ew10_7.rgg,4476,4476,0,0.21
300_r0c14_nw1000_ew10_8.rgg,4619,4619,0,0.2269
300_r0c14_nw1000_ew10_9.rgg,5756,5756,0,0.2528
300_r0c14_nw100_ew100_0.rgg,8278,8278,0,12.7433
300_r0c14_nw100_ew100_1.rgg,8474,8474,0,25.3698
300_r0c14_nw100_ew100_2.rgg,8042,8042,0,7.9751
300_r0c14_nw100_ew100_3.rgg,8387,8387,0,34.2542
300_r0c14_nw100_ew100_4.rgg,8570.0000,8570.0000,0.00,52.8539
300_r0c14_nw100_ew100_5.rgg,8192.0000,8192.0000,0.00,6.2345
300_r0c14_nw100_ew100_6.rgg,8761.0000,8761.0000,0.00,9.6517
300_r0c14_nw100_ew100_7.rgg,8429.0000,8429.0000,0.00,14.2588
300_r0c14_nw100_ew100_8.rgg,8590.0000,8590.0000,0.00,7.5994
300_r0c14_nw100_ew100_9.rgg,8391.0000,8391.0000,0.00,12.5517
300_r0c14_nw10_ew1000_0.rgg,63453.0000,63453.0000,0.00,8.3413
300_r0c14_nw10_ew1000_1.rgg,65972.0000,65972.0000,0.00,53.2024
300_r0c14_nw10_ew1000_2.rgg,65347.0000,65347.0000,0.00,42.1758
300_r0c14_nw10_ew1000_3.rgg,68529.0000,68529.0000,0.00,14.7046
300_r0c14_nw10_ew1000_4.rgg,67896.0000,67896.0000,0.00,11.9991
300_r0c14_nw10_ew1000_5.rgg,67998.0000,67998.0000,0.00,54.7370
300_r0c14_nw10_ew1000_6.rgg,62450.0000,62450.0000,0.00,18.3061
300_r0c14_nw10_ew1000_7.rgg,68239.0000,68239.0000,0.00,17.2919
300_r0c14_nw10_ew1000_8.rgg,63281.0000,63281.0000,0.00,37.2687
300_r0c14_nw10_ew1000_9.rgg,63531.0000,63531.0000,0.00,32.8302
