instance,best_obj,lower_bound,gap_percent,total_time
350_r0c14_nw1000_ew10_0.rgg,5012,5012,0,0.3311
350_r0c14_nw1000_ew10_1.rgg,4546,4546,0,0.2661
350_r0c14_nw1000_ew10_2.rgg,4454,4454,0,0.3066
350_r0c14_nw1000_ew10_3.rgg,4906,4906,0,0.2593
350_r0c14_nw1000_ew10_4.rgg,5334,5334,0,0.3711
350_r0c14_nw1000_ew10_5.rgg,5045,5045,0,0.3077
350_r0c14_nw1000_ew10_6.rgg,4251,4251,0,0.3135
350_r0c14_nw1000_ew10_7.rgg,3946,3946,0,0.3165
350_r0c14_nw1000_ew10_8.rgg,4351,4351,0,0.2463
350_r0c14_nw1000_ew10_9.rgg,4299,4299,0,0.3816
350_r0c14_nw100_ew100_0.rgg,10018,10018,0,124.058
350_r0c14_nw100_ew100_1.rgg,9179,9179,0,35.5242
350_r0c14_nw100_ew100_2.rgg,9348,9348,0,63.9901
350_r0c14_nw100_ew100_3.rgg,9948,9948,0,80.7066
350_r0c14_nw100_ew100_4.rgg,9678,9678,0,130.8765
350_r0c14_nw100_ew100_5.rgg,9883,9883,0,66.7705
350_r0c14_nw100_ew100_6.rgg,9378,9378,0,62.3619
350_r0c14_nw100_ew100_7.rgg,9316,9316,0,72.3175
350_r0c14_nw100_ew100_8.rgg,9618,9618,0,120.8304
350_r0c14_nw100_ew100_9.rgg,9692,9692,0,58.6343
350_r0c14_nw10_ew1000_0.rgg,80872,80872,0,197.5973
350_r0c14_nw10_ew1000_1.rgg,77930,77930,0,83.0598
350_r0c14_nw10_ew1000_2.rgg,73842,73842,0,135.6088
350_r0c14_nw10_ew1000_3.rgg,80955,80955,0,243.9139
350_r0c14_nw10_ew1000_4.rgg,75434,75434,0,205.2999
350_r0c14_nw10_ew1000_5.rgg,79231.0000,79231.0000,0.00,154.1262
350_r0c14_nw10_ew1000_6.rgg,76488.0000,76488.0000,0.00,103.7772
350_r0c14_nw10_ew1000_7.rgg,71729.0000,71729.0000,0.00,79.9954
350_r0c14_nw10_ew1000_8.rgg,78920.0000,78920.0000,0.00,142.5100
350_r0c14_nw10_ew1000_9.rgg,78711.0000,78711.0000,0.00,102.7255
