instance,best_obj,best_bound,gap_percent,total_time
400_r0c14_nw1000_ew10_0.rgg,3842.0000,3842.0000,0.00,0.1915
400_r0c14_nw1000_ew10_1.rgg,4229.0000,4229.0000,0.00,0.2601
400_r0c14_nw1000_ew10_2.rgg,4261.0000,4261.0000,0.00,0.2195
400_r0c14_nw1000_ew10_3.rgg,3814.0000,3814.0000,0.00,0.1832
400_r0c14_nw1000_ew10_4.rgg,4071.0000,4071.0000,0.00,0.2529
400_r0c14_nw1000_ew10_5.rgg,4411.0000,4411.0000,0.00,0.2177
400_r0c14_nw1000_ew10_6.rgg,4597.0000,4597.0000,0.00,0.5422
400_r0c14_nw1000_ew10_7.rgg,4870.0000,4870.0000,0.00,0.2602
400_r0c14_nw1000_ew10_8.rgg,4141.0000,4141.0000,0.00,0.1790
400_r0c14_nw1000_ew10_9.rgg,4940.0000,4940.0000,0.00,0.4033
400_r0c14_nw100_ew100_0.rgg,10428.0000,10428.0000,0.00,366.1399
400_r0c14_nw100_ew100_1.rgg,10447.0000,10447.0000,0.00,429.7167
400_r0c14_nw100_ew100_2.rgg,10460.0000,10460.0000,0.00,152.2813
400_r0c14_nw100_ew100_3.rgg,10819.0000,10819.0000,0.00,403.9421
400_r0c14_nw100_ew100_4.rgg,10841.0000,10841.0000,0.00,270.9701
400_r0c14_nw100_ew100_5.rgg,10879.0000,10879.0000,0.00,683.5368
400_r0c14_nw100_ew100_6.rgg,10725.0000,10725.0000,0.00,579.9168
400_r0c14_nw100_ew100_7.rgg,10788.0000,10788.0000,0.00,166.4807
400_r0c14_nw100_ew100_8.rgg,10336.0000,10336.0000,0.00,662.2489
400_r0c14_nw100_ew100_9.rgg,10685.0000,10685.0000,0.00,716.3229
400_r0c14_nw10_ew1000_0.rgg,83983.0000,83983.0000,0.00,284.2428
400_r0c14_nw10_ew1000_1.rgg,89751.0000,89751.0000,0.00,799.3705
400_r0c14_nw10_ew1000_2.rgg,90057.0000,88670.0000,1.54,1200.0572
400_r0c14_nw10_ew1000_3.rgg,89255.0000,89255.0000,0.00,964.4918
400_r0c14_nw10_ew1000_4.rgg,89735.0000,87032.0000,3.01,1200.0682
400_r0c14_nw10_ew1000_5.rgg,88006.0000,88006.0000,0.00,1025.3371
400_r0c14_nw10_ew1000_6.rgg,86304.0000,86304.0000,0.00,237.7482
400_r0c14_nw10_ew1000_7.rgg,89915.0000,89915.0000,0.00,865.9704
400_r0c14_nw10_ew1000_8.rgg,87127.0000,87127.0000,0.00,169.2774
400_r0c14_nw10_ew1000_9.rgg,88809.0000,88809.0000,0.00,135.5730
