instance,best_obj,lower_bound,gap_percent,total_time
200_r0c14_nw1000_ew10_0.rgg,4471.0,4471.0,0.0,0.3452
200_r0c14_nw1000_ew10_1.rgg,5473.0,5473.0,0.0,0.2648
200_r0c14_nw1000_ew10_2.rgg,5669.0,5669.0,0.0,0.3080
200_r0c14_nw1000_ew10_3.rgg,5721.0,5721.0,0.0,0.2831
200_r0c14_nw1000_ew10_4.rgg,4798.0,4798.0,0.0,0.2688
200_r0c14_nw1000_ew10_5.rgg,5900.0,5900.0,0.0,0.2890
200_r0c14_nw1000_ew10_6.rgg,6438.0,6438.0,0.0,0.3428
200_r0c14_nw1000_ew10_7.rgg,4216.0,4216.0,0.0,0.2281
200_r0c14_nw1000_ew10_8.rgg,4135.0,4135.0,0.0,0.3248
200_r0c14_nw1000_ew10_9.rgg,5585.0,5585.0,0.0,0.2690
200_r0c14_nw100_ew100_0.rgg,6189.0,6189.0,0.0,0.8280
200_r0c14_nw100_ew100_1.rgg,6149.0,6149.0,0.0,0.7535
200_r0c14_nw100_ew100_2.rgg,5638.0,5638.0,0.0,0.7763
200_r0c14_nw100_ew100_3.rgg,5605.0,5605.0,0.0,0.6558
200_r0c14_nw100_ew100_4.rgg,6305.0,6305.0,0.0,0.9301
200_r0c14_nw100_ew100_5.rgg,6014.0,6014.0,0.0,0.7682
200_r0c14_nw100_ew100_6.rgg,5946.0,5946.0,0.0,0.7494
200_r0c14_nw100_ew100_7.rgg,6237.0,6237.0,0.0,0.6266
200_r0c14_nw100_ew100_8.rgg,5867.0,5867.0,0.0,0.4761
200_r0c14_nw100_ew100_9.rgg,5636.0,5636.0,0.0,0.8080
200_r0c14_nw10_ew1000_0.rgg,42373.0,42373.0,0.0,0.7476
200_r0c14_nw10_ew1000_1.rgg,45400.0,45400.0,0.0,0.9313
200_r0c14_nw10_ew1000_2.rgg,43617.0,43617.0,0.0,1.2256
200_r0c14_nw10_ew1000_3.rgg,47999.0,47999.0,0.0,1.0231
200_r0c14_nw10_ew1000_4.rgg,44792.0,44792.0,0.0,1.1835
200_r0c14_nw10_ew1000_5.rgg,40396.0,40396.0,0.0,0.6252
200_r0c14_nw10_ew1000_6.rgg,44228.0,44228.0,0.0,0.6317
200_r0c14_nw10_ew1000_7.rgg,44559.0,44559.0,0.0,0.9743
200_r0c14_nw10_ew1000_8.rgg,39296.0,39296.0,0.0,0.7706
200_r0c14_nw10_ew1000_9.rgg,40097.0,40097.0,0.0,0.7459
