instance,best_obj,best_bound,gap_percent,total_time
300_r0c14_nw1000_ew10_0.rgg,3480.0000,3480.0000,0.00,0.1304
300_r0c14_nw1000_ew10_1.rgg,4892.0000,4892.0000,0.00,0.1417
300_r0c14_nw1000_ew10_2.rgg,4549.0000,4549.0000,0.00,0.0931
300_r0c14_nw1000_ew10_3.rgg,4791.0000,4791.0000,0.00,0.1064
300_r0c14_nw1000_ew10_4.rgg,5303.0000,5303.0000,0.00,0.0950
300_r0c14_nw1000_ew10_5.rgg,4754.0000,4754.0000,0.00,0.1313
300_r0c14_nw1000_ew10_6.rgg,4403.0000,4403.0000,0.00,0.1233
300_r0c14_nw1000_ew10_7.rgg,4476.0000,4476.0000,0.00,0.1055
300_r0c14_nw1000_ew10_8.rgg,4619.0000,4619.0000,0.00,0.1344
300_r0c14_nw1000_ew10_9.rgg,5756.0000,5756.0000,0.00,0.1546
300_r0c14_nw100_ew100_0.rgg,8278.0000,8278.0000,0.00,7.1621
300_r0c14_nw100_ew100_1.rgg,8474.0000,8474.0000,0.00,9.0667
300_r0c14_nw100_ew100_2.rgg,8042.0000,8042.0000,0.00,5.2460
300_r0c14_nw100_ew100_3.rgg,8387.0000,8387.0000,0.00,28.6041
300_r0c14_nw100_ew100_4.rgg,8570.0000,8570.0000,0.00,38.0750
300_r0c14_nw100_ew100_5.rgg,8192.0000,8192.0000,0.00,5.4690
300_r0c14_nw100_ew100_6.rgg,8761.0000,8761.0000,0.00,12.2190
300_r0c14_nw100_ew100_7.rgg,8429.0000,8429.0000,0.00,13.7302
300_r0c14_nw100_ew100_8.rgg,8590.0000,8590.0000,0.00,11.2037
300_r0c14_nw100_ew100_9.rgg,8391.0000,8391.0000,0.00,13.4531
300_r0c14_nw10_ew1000_0.rgg,63453.0000,63453.0000,0.00,11.6066
300_r0c14_nw10_ew1000_1.rgg,65972.0000,65972.0000,0.00,50.0008
300_r0c14_nw10_ew1000_2.rgg,65347.0000,65347.0000,0.00,43.3416
300_r0c14_nw10_ew1000_3.rgg,68529.0000,68529.0000,0.00,8.6745
300_r0c14_nw10_ew1000_4.rgg,67896.0000,67896.0000,0.00,11.1077
300_r0c14_nw10_ew1000_5.rgg,67998.0000,67998.0000,0.00,42.4933
300_r0c14_nw10_ew1000_6.rgg,62450.0000,62450.0000,0.00,15.3561
300_r0c14_nw10_ew1000_7.rgg,68239.0000,68239.0000,0.00,12.5772
300_r0c14_nw10_ew1000_8.rgg,63281.0000,63281.0000,0.00,35.0178
300_r0c14_nw10_ew1000_9.rgg,63531.0000,63531.0000,0.00,29.1008
