instance,best_obj,lower_bound,gap_percent,total_time
300_r0c14_nw1000_ew10_0.rgg,3480.0000,3480.0000,0.00,0.2256
300_r0c14_nw1000_ew10_1.rgg,4892.0000,4892.0000,0.00,0.2112
300_r0c14_nw1000_ew10_2.rgg,4549.0000,4549.0000,0.00,0.1870
300_r0c14_nw1000_ew10_3.rgg,4791.0000,4791.0000,0.00,0.1998
300_r0c14_nw1000_ew10_4.rgg,5303.0000,5303.0000,0.00,0.1785
300_r0c14_nw1000_ew10_5.rgg,4754.0000,4754.0000,0.00,0.2266
300_r0c14_nw1000_ew10_6.rgg,4403.0000,4403.0000,0.00,0.2231
300_r0c14_nw1000_ew10_7.rgg,4476.0000,4476.0000,0.00,0.2162
300_r0c14_nw1000_ew10_8.rgg,4619.0000,4619.0000,0.00,0.2205
300_r0c14_nw1000_ew10_9.rgg,5756.0000,5756.0000,0.00,0.2478
300_r0c14_nw100_ew100_0.rgg,8278.0000,8278.0000,0.00,12.5128
300_r0c14_nw100_ew100_1.rgg,8474.0000,8474.0000,0.00,27.8547
300_r0c14_nw100_ew100_2.rgg,8042.0000,8042.0000,0.00,8.4698
300_r0c14_nw100_ew100_3.rgg,8387.0000,8387.0000,0.00,33.9990
300_r0c14_nw100_ew100_4.rgg,8570.0000,8570.0000,0.00,54.1431
300_r0c14_nw100_ew100_5.rgg,8192.0000,8192.0000,0.00,6.0748
300_r0c14_nw100_ew100_6.rgg,8761.0000,8761.0000,0.00,9.7107
300_r0c14_nw100_ew100_7.rgg,8429.0000,8429.0000,0.00,14.1386
300_r0c14_nw100_ew100_8.rgg,8590.0000,8590.0000,0.00,7.7476
300_r0c14_nw100_ew100_9.rgg,8391.0000,8391.0000,0.00,13.2042
300_r0c14_nw10_ew1000_0.rgg,63453.0000,63453.0000,0.00,8.7526
300_r0c14_nw10_ew1000_1.rgg,65972.0000,65972.0000,0.00,53.7745
300_r0c14_nw10_ew1000_2.rgg,65347.0000,65347.0000,0.00,40.9425
300_r0c14_nw10_ew1000_3.rgg,68529.0000,68529.0000,0.00,14.9471
300_r0c14_nw10_ew1000_4.rgg,67896.0000,67896.0000,0.00,11.8858
300_r0c14_nw10_ew1000_5.rgg,67998.0000,67998.0000,0.00,53.8490
300_r0c14_nw10_ew1000_6.rgg,62450.0000,62450.0000,0.00,17.8419
300_r0c14_nw10_ew1000_7.rgg,68239.0000,68239.0000,0.00,16.3782
300_r0c14_nw10_ew1000_8.rgg,63281.0000,63281.0000,0.00,33.9241
300_r0c14_nw10_ew1000_9.rgg,63531.0000,63531.0000,0.00,31.0761
