instance,best_obj,lower_bound,gap_percent,total_time
400_r0c14_nw1000_ew10_0.rgg,3842.0,3842.0,0.0,1.0345
400_r0c14_nw1000_ew10_1.rgg,4229.0,4229.0,0.0,1.1394
400_r0c14_nw1000_ew10_2.rgg,4261.0,4261.0,0.0,0.9616
400_r0c14_nw1000_ew10_3.rgg,3814.0,3814.0,0.0,1.0746
400_r0c14_nw1000_ew10_4.rgg,4071.0,4071.0,0.0,0.9736
400_r0c14_nw1000_ew10_5.rgg,4411.0,4411.0,0.0,1.1046
400_r0c14_nw1000_ew10_6.rgg,4597.0,4597.0,0.0,1.3253
400_r0c14_nw1000_ew10_7.rgg,4870.0,4870.0,0.0,1.2443
400_r0c14_nw1000_ew10_8.rgg,4141.0,4141.0,0.0,1.0247
400_r0c14_nw1000_ew10_9.rgg,4940.0,4940.0,0.0,1.3789
400_r0c14_nw100_ew100_0.rgg,10428.0,10428.0,0.0,217.9832
400_r0c14_nw100_ew100_1.rgg,10447.0,10447.0,0.0,235.4529
400_r0c14_nw100_ew100_2.rgg,10460.0,10460.0,0.0,114.3265
400_r0c14_nw100_ew100_3.rgg,10819.0,10819.0,0.0,238.4937
400_r0c14_nw100_ew100_4.rgg,10841.0,10841.0,0.0,117.2646
400_r0c14_nw100_ew100_5.rgg,10879.0,10879.0,0.0,399.1016
400_r0c14_nw100_ew100_6.rgg,10725.0,10725.0,0.0,356.8124
400_r0c14_nw100_ew100_7.rgg,10788.0,10788.0,0.0,105.0146
400_r0c14_nw100_ew100_8.rgg,10336.0,10336.0,0.0,156.7704
400_r0c14_nw100_ew100_9.rgg,10685.0,10684.999999999998,0.0,259.7812
400_r0c14_nw10_ew1000_0.rgg,83983.0,83983.0,0.0,597.4837
400_r0c14_nw10_ew1000_1.rgg,89751.0,89751.0,0.0,1030.0609
400_r0c14_nw10_ew1000_2.rgg,90057.0,87686.0,2.6327770189990782,1200.2542
400_r0c14_nw10_ew1000_3.rgg,89255.0,87214.0,2.2867066270797154,1200.2456
400_r0c14_nw10_ew1000_4.rgg,89735.0,89735.0,0.0,1149.8562
400_r0c14_nw10_ew1000_5.rgg,88006.0,88006.0,0.0,1166.0496
400_r0c14_nw10_ew1000_6.rgg,86304.0,86304.0,0.0,380.6600
400_r0c14_nw10_ew1000_7.rgg,89915.0,89915.0,0.0,958.4651
400_r0c14_nw10_ew1000_8.rgg,87127.0,87127.0,0.0,347.6247
400_r0c14_nw10_ew1000_9.rgg,88809.0,88809.0,0.0,154.2921
