instance,best_obj,lower_bound,gap_percent,total_time
400_r0c14_nw1000_ew10_0.rgg,3842,3842,0,0.3836
400_r0c14_nw1000_ew10_1.rgg,4229,4229,0,0.4383
400_r0c14_nw1000_ew10_2.rgg,4261,4261,0,0.3985
400_r0c14_nw1000_ew10_3.rgg,3814,3814,0,0.3674
400_r0c14_nw1000_ew10_4.rgg,4071,4071,0,0.492
400_r0c14_nw1000_ew10_5.rgg,4411,4411,0,0.4017
400_r0c14_nw1000_ew10_6.rgg,4597,4597,0,0.6895
400_r0c14_nw1000_ew10_7.rgg,4870,4870,0,0.4431
400_r0c14_nw1000_ew10_8.rgg,4141,4141,0,0.3462
400_r0c14_nw1000_ew10_9.rgg,4940,4940,0,0.6854
400_r0c14_nw100_ew100_0.rgg,10428,10428,0,213.8415
400_r0c14_nw100_ew100_1.rgg,10447,10447,0,209.4952
400_r0c14_nw100_ew100_2.rgg,10460,10460,0,144.8245
400_r0c14_nw100_ew100_3.rgg,10819,10819,0,211.5728
400_r0c14_nw100_ew100_4.rgg,10841.0000,10841.0000,0.00,152.7944
400_r0c14_nw100_ew100_5.rgg,10879.0000,10879.0000,0.00,273.3729
400_r0c14_nw100_ew100_6.rgg,10725.0000,10725.0000,0.00,381.0199
400_r0c14_nw100_ew100_7.rgg,10788.0000,10788.0000,0.00,112.6635
400_r0c14_nw100_ew100_8.rgg,10336.0000,10336.0000,0.00,159.5941
400_r0c14_nw100_ew100_9.rgg,10685.0000,10685.0000,0.00,259.2863
400_r0c14_nw10_ew1000_0.rgg,83983.0000,83983.0000,0.00,307.4022
400_r0c14_nw10_ew1000_1.rgg,89751.0000,89751.0000,0.00,640.3650
400_r0c14_nw10_ew1000_2.rgg,90057.0000,90057.0000,0.00,1158.5820
400_r0c14_nw10_ew1000_3.rgg,89255.0000,86391.0000,3.21,1200.2907
400_r0c14_nw10_ew1000_4.rgg,89735.0000,86822.0000,3.25,1196.1695
400_r0c14_nw10_ew1000_5.rgg,88006.0000,88006.0000,0.00,1086.5745
400_r0c14_nw10_ew1000_6.rgg,86304.0000,86304.0000,0.00,644.9807
400_r0c14_nw10_ew1000_7.rgg,89915.0000,89915.0000,0.00,598.7485
400_r0c14_nw10_ew1000_8.rgg,87127.0000,87127.0000,0.00,219.7908
400_r0c14_nw10_ew1000_9.rgg,88809.0000,88809.0000,0.00,141.5953
