instance, num_incorrect, cost, time
500_r0c14_nw1000_ew10_0.rgg, 0, 8148, 0.10731250001117587
500_r0c14_nw1000_ew10_1.rgg, 0, 7723, 0.10018080001464114
500_r0c14_nw1000_ew10_2.rgg, 0, 6313, 0.1091774000087753
500_r0c14_nw1000_ew10_3.rgg, 0, 6659, 0.11590929998783395
500_r0c14_nw1000_ew10_4.rgg, 0, 8308, 0.10290310002164915
500_r0c14_nw1000_ew10_5.rgg, 0, 6599, 0.10401599999750033
500_r0c14_nw1000_ew10_6.rgg, 0, 8174, 0.11640180001268163
500_r0c14_nw1000_ew10_7.rgg, 0, 5699, 0.1019481000257656
500_r0c14_nw1000_ew10_8.rgg, 0, 6113, 0.1023379000253044
500_r0c14_nw1000_ew10_9.rgg, 0, 8107, 0.10413100000005215
500_r0c14_nw100_ew100_0.rgg, 0, 16067, 0.10648850002326071
500_r0c14_nw100_ew100_1.rgg, 0, 15748, 0.09845679998397827
500_r0c14_nw100_ew100_2.rgg, 0, 16985, 0.10198989999480546
500_r0c14_nw100_ew100_3.rgg, 0, 15617, 0.1059984999592416
500_r0c14_nw100_ew100_4.rgg, 0, 15204, 0.09884140000212938
500_r0c14_nw100_ew100_5.rgg, 0, 16066, 0.09952719998545945
500_r0c14_nw100_ew100_6.rgg, 0, 15389, 0.09781280002789572
500_r0c14_nw100_ew100_7.rgg, 0, 15732, 0.10437320003984496
500_r0c14_nw100_ew100_8.rgg, 0, 15250, 0.10670349997235462
500_r0c14_nw100_ew100_9.rgg, 0, 16199, 0.09465069998987019
500_r0c14_nw10_ew1000_0.rgg, 0, 148438, 0.10069520003162324
500_r0c14_nw10_ew1000_1.rgg, 0, 146753, 0.10007569997105747
500_r0c14_nw10_ew1000_2.rgg, 0, 135668, 0.10116730001755059
500_r0c14_nw10_ew1000_3.rgg, 0, 132101, 0.10704259999329224
500_r0c14_nw10_ew1000_4.rgg, 0, 143615, 0.10197590000461787
500_r0c14_nw10_ew1000_5.rgg, 0, 137377, 0.10171060002176091
500_r0c14_nw10_ew1000_6.rgg, 0, 137461, 0.1010113000520505
500_r0c14_nw10_ew1000_7.rgg, 0, 137681, 0.11218060000101104
500_r0c14_nw10_ew1000_8.rgg, 0, 142890, 0.10955260001355782
500_r0c14_nw10_ew1000_9.rgg, 0, 132780, 0.10452720004832372
