instance,best_obj,lower_bound,gap_percent,total_time
250_r0c14_nw1000_ew10_0.rgg,5316.0,5316.0,0.0,0.4780
250_r0c14_nw1000_ew10_1.rgg,4646.0,4646.0,0.0,0.4331
250_r0c14_nw1000_ew10_2.rgg,4876.0,4876.0,0.0,0.3589
250_r0c14_nw1000_ew10_3.rgg,5145.0,5145.0,0.0,0.4445
250_r0c14_nw1000_ew10_4.rgg,4199.0,4199.0,0.0,0.3255
250_r0c14_nw1000_ew10_5.rgg,3813.0,3813.0,0.0,0.3716
250_r0c14_nw1000_ew10_6.rgg,5475.0,5475.0,0.0,0.4253
250_r0c14_nw1000_ew10_7.rgg,4862.0,4862.0,0.0,0.4770
250_r0c14_nw1000_ew10_8.rgg,5023.0,5023.0,0.0,0.3373
250_r0c14_nw1000_ew10_9.rgg,4686.0,4686.0,0.0,0.4750
250_r0c14_nw100_ew100_0.rgg,6951.0,6951.0,0.0,1.5360
250_r0c14_nw100_ew100_1.rgg,7101.0,7101.0,0.0,4.7766
250_r0c14_nw100_ew100_2.rgg,7343.0,7343.0,0.0,3.2013
250_r0c14_nw100_ew100_3.rgg,7372.0,7372.0,0.0,6.5350
250_r0c14_nw100_ew100_4.rgg,7126.0,7126.0,0.0,2.1086
250_r0c14_nw100_ew100_5.rgg,7162.0,7162.0,0.0,1.5846
250_r0c14_nw100_ew100_6.rgg,7026.0,7026.0,0.0,1.6474
250_r0c14_nw100_ew100_7.rgg,7015.0,7015.0,0.0,2.4077
250_r0c14_nw100_ew100_8.rgg,7115.0,7115.0,0.0,1.8156
250_r0c14_nw100_ew100_9.rgg,7027.0,7027.0,0.0,3.1675
250_r0c14_nw10_ew1000_0.rgg,56899.0,56899.0,0.0,4.6058
250_r0c14_nw10_ew1000_1.rgg,53715.0,53715.0,0.0,2.5739
250_r0c14_nw10_ew1000_2.rgg,51006.0,51006.0,0.0,2.1348
250_r0c14_nw10_ew1000_3.rgg,55618.0,55618.0,0.0,3.5254
250_r0c14_nw10_ew1000_4.rgg,54306.0,54306.0,0.0,3.9177
250_r0c14_nw10_ew1000_5.rgg,51787.0,51787.0,0.0,1.9329
250_r0c14_nw10_ew1000_6.rgg,54254.0,54254.0,0.0,2.4123
250_r0c14_nw10_ew1000_7.rgg,53754.0,53754.0,0.0,5.6770
250_r0c14_nw10_ew1000_8.rgg,55432.0,55432.0,0.0,2.8115
250_r0c14_nw10_ew1000_9.rgg,52976.0,52976.0,0.0,1.7569
