instance,num_incorrect,cost,time,winner
2000_r0c07_nw1000_ew10_0.rgg,0,19114.0000,59.3625,LP_Rounding
2000_r0c07_nw1000_ew10_1.rgg,0,18742.0000,59.5299,LP_Rounding
2000_r0c07_nw1000_ew10_2.rgg,0,19676.0000,66.0964,LP_Rounding
2000_r0c07_nw1000_ew10_3.rgg,0,18129.0000,72.0840,LP_Rounding
2000_r0c07_nw1000_ew10_4.rgg,0,18754.0000,54.2528,LP_Rounding
2000_r0c07_nw1000_ew10_5.rgg,0,20225.0000,64.5177,LP_Rounding
2000_r0c07_nw1000_ew10_6.rgg,0,18387.0000,58.3592,LP_Rounding
2000_r0c07_nw1000_ew10_7.rgg,0,19108.0000,57.7683,LP_Rounding
2000_r0c07_nw1000_ew10_8.rgg,0,19035.0000,62.1911,LP_Rounding
2000_r0c07_nw1000_ew10_9.rgg,0,20981.0000,65.4303,LP_Rounding
2000_r0c07_nw100_ew100_0.rgg,0,58084.0000,57.8133,Clique_Inverse_size
2000_r0c07_nw100_ew100_1.rgg,0,59672.0000,61.6924,Clique_Size
2000_r0c07_nw100_ew100_2.rgg,0,58536.0000,64.6396,Clique_Inverse_size
2000_r0c07_nw100_ew100_3.rgg,0,57722.0000,60.8805,Clique_Hub
2000_r0c07_nw100_ew100_4.rgg,0,58432.0000,68.7841,Clique_Hub
2000_r0c07_nw100_ew100_5.rgg,0,56649.0000,63.3904,Clique_Cost
2000_r0c07_nw100_ew100_6.rgg,0,57997.0000,70.9401,Clique_Inverse_size
2000_r0c07_nw100_ew100_7.rgg,0,57763.0000,67.8887,Clique_Inverse_size
2000_r0c07_nw100_ew100_8.rgg,0,58432.0000,63.3180,Clique_Cost
2000_r0c07_nw100_ew100_9.rgg,0,58235.0000,66.5044,Clique_Hub
2000_r0c07_nw10_ew1000_0.rgg,0,499899.0000,74.1519,Clique_Cost
2000_r0c07_nw10_ew1000_1.rgg,0,494284.0000,62.8473,Clique_Size
2000_r0c07_nw10_ew1000_2.rgg,0,508555.0000,72.1943,Clique_Inverse_size
2000_r0c07_nw10_ew1000_3.rgg,0,501586.0000,75.8258,Clique_Hub
2000_r0c07_nw10_ew1000_4.rgg,0,498231.0000,67.6752,Clique_Hub
2000_r0c07_nw10_ew1000_5.rgg,0,509170.0000,76.2969,Clique_Inverse_size
2000_r0c07_nw10_ew1000_6.rgg,0,498076.0000,62.6096,Clique_Size
2000_r0c07_nw10_ew1000_7.rgg,0,499486.0000,62.9011,Clique_Inverse_size
2000_r0c07_nw10_ew1000_8.rgg,0,512217.0000,71.1835,Clique_Hub
2000_r0c07_nw10_ew1000_9.rgg,0,496272.0000,72.9674,Clique_Hub
