instance,num_incorrect,cost,time,winner
500_r0c14_nw1000_ew10_0.rgg,0,4571.0,1.1032,LP_Rounding
500_r0c14_nw1000_ew10_1.rgg,0,5346.0,1.2976,LP_Rounding
500_r0c14_nw1000_ew10_2.rgg,0,5283.0,1.3842,LP_Rounding
500_r0c14_nw1000_ew10_3.rgg,0,4751.0,1.0602,LP_Rounding
500_r0c14_nw1000_ew10_4.rgg,0,5107.0,1.7811,LP_Rounding
500_r0c14_nw1000_ew10_5.rgg,0,5005.0,1.9067,LP_Rounding
500_r0c14_nw1000_ew10_6.rgg,0,5106.0,1.1800,LP_Rounding
500_r0c14_nw1000_ew10_7.rgg,0,4305.0,1.2775,LP_Rounding
500_r0c14_nw1000_ew10_8.rgg,0,5031.0,1.1192,LP_Rounding
500_r0c14_nw1000_ew10_9.rgg,0,5515.0,1.0638,LP_Rounding
500_r0c14_nw100_ew100_0.rgg,0,14673.0,1.1836,Shift_Full
500_r0c14_nw100_ew100_1.rgg,0,14555.0,1.2779,Shift_Full
500_r0c14_nw100_ew100_2.rgg,0,15215.0,1.4212,Shift_Full
500_r0c14_nw100_ew100_3.rgg,0,14552.0,1.2230,Shift_Full
500_r0c14_nw100_ew100_4.rgg,0,14480.0,1.2588,Shift_Full
500_r0c14_nw100_ew100_5.rgg,0,14508.0,1.3199,Shift_Full
500_r0c14_nw100_ew100_6.rgg,0,14132.0,1.5501,Shift_Full
500_r0c14_nw100_ew100_7.rgg,0,14395.0,1.2758,Shift_Full
500_r0c14_nw100_ew100_8.rgg,0,14403.0,1.1154,Shift_Full
500_r0c14_nw100_ew100_9.rgg,0,14987.0,1.3515,Shift_Full
500_r0c14_nw10_ew1000_0.rgg,0,126864.0,1.5490,Shift_Full
500_r0c14_nw10_ew1000_1.rgg,0,127204.0,1.1712,Shift_Full
500_r0c14_nw10_ew1000_2.rgg,0,123220.0,1.3760,Shift_Full
500_r0c14_nw10_ew1000_3.rgg,0,125183.0,1.5458,Shift_Full
500_r0c14_nw10_ew1000_4.rgg,0,125035.0,1.3647,Shift_Full
500_r0c14_nw10_ew1000_5.rgg,0,121444.0,1.3832,Shift_Full
500_r0c14_nw10_ew1000_6.rgg,0,121302.0,1.1187,Shift_Full
500_r0c14_nw10_ew1000_7.rgg,0,124400.0,1.2974,Shift_Full
500_r0c14_nw10_ew1000_8.rgg,0,127913.0,1.3111,Shift_Full
500_r0c14_nw10_ew1000_9.rgg,0,128628.0,1.4057,Shift_Full
