instance,best_obj,best_bound,gap_percent,total_time
500_r0c14_nw1000_ew10_0.rgg,4550.0000,4550.0000,0.00,0.4215
500_r0c14_nw1000_ew10_1.rgg,4983.0000,4983.0000,0.00,0.5639
500_r0c14_nw1000_ew10_2.rgg,4798.0000,4798.0000,0.00,0.7805
500_r0c14_nw1000_ew10_3.rgg,4623.0000,4623.0000,0.00,0.4163
500_r0c14_nw1000_ew10_4.rgg,4722.0000,4722.0000,0.00,0.3527
500_r0c14_nw1000_ew10_5.rgg,4937.0000,4937.0000,0.00,0.5724
500_r0c14_nw1000_ew10_6.rgg,4769.0000,4769.0000,0.00,0.5178
500_r0c14_nw1000_ew10_7.rgg,4296.0000,4296.0000,0.00,0.3086
500_r0c14_nw1000_ew10_8.rgg,4838.0000,4838.0000,0.00,0.9099
500_r0c14_nw1000_ew10_9.rgg,5070.0000,5070.0000,0.00,0.3117
500_r0c14_nw100_ew100_0.rgg,13124.0000,12518.0000,4.62,1503.2504
500_r0c14_nw100_ew100_1.rgg,13344.0000,12516.0000,6.21,1501.9117
500_r0c14_nw100_ew100_2.rgg,13823.0000,13230.0000,4.29,1503.0376
500_r0c14_nw100_ew100_3.rgg,13155.0000,12497.0000,5.00,1500.2019
500_r0c14_nw100_ew100_4.rgg,13530.0000,12820.0000,5.25,1500.1049
500_r0c14_nw100_ew100_5.rgg,13173.0000,13173.0000,0.00,1273.2532
500_r0c14_nw100_ew100_6.rgg,13511.0000,13106.0000,3.00,1500.1293
500_r0c14_nw100_ew100_7.rgg,13402.0000,12658.0000,5.55,1502.6662
500_r0c14_nw100_ew100_8.rgg,13172.0000,12514.0000,5.00,1500.0708
500_r0c14_nw100_ew100_9.rgg,13372.0000,12980.0000,2.93,1500.1098
500_r0c14_nw10_ew1000_0.rgg,110638.0000,101372.0000,8.38,1500.2389
500_r0c14_nw10_ew1000_1.rgg,113127.0000,102618.0000,9.29,1502.3242
500_r0c14_nw10_ew1000_2.rgg,112124.0000,102529.0000,8.56,1503.4448
500_r0c14_nw10_ew1000_3.rgg,109001.0000,101130.0000,7.22,1503.4749
500_r0c14_nw10_ew1000_4.rgg,113279.0000,103510.0000,8.62,1501.8912
500_r0c14_nw10_ew1000_5.rgg,110032.0000,99501.0721,9.57,1500.2283
500_r0c14_nw10_ew1000_6.rgg,113471.0000,104027.0000,8.32,1500.2208
500_r0c14_nw10_ew1000_7.rgg,114731.0000,103844.0000,9.49,1504.2481
500_r0c14_nw10_ew1000_8.rgg,110892.0000,100873.0000,9.03,1503.6734
500_r0c14_nw10_ew1000_9.rgg,114194.0000,102937.0000,9.86,1500.3065
