instance,best_obj,lower_bound,gap_percent,total_time
500_r0c14_nw1000_ew10_0.rgg,4550.0,4550.0,0.0,0.5826
500_r0c14_nw1000_ew10_1.rgg,4983.0,4983.0,0.0,1.2266
500_r0c14_nw1000_ew10_2.rgg,4798.0,4798.0,0.0,1.4587
500_r0c14_nw1000_ew10_3.rgg,4623.0,4623.0,0.0,0.7742
500_r0c14_nw1000_ew10_4.rgg,4722.0,4722.0,0.0,0.6481
500_r0c14_nw1000_ew10_5.rgg,4937.0,4937.0,0.0,1.1807
500_r0c14_nw1000_ew10_6.rgg,4769.0,4769.0,0.0,1.0236
500_r0c14_nw1000_ew10_7.rgg,4296.0,4296.0,0.0,0.3701
500_r0c14_nw1000_ew10_8.rgg,4838.0,4838.0,0.0,0.8276
500_r0c14_nw1000_ew10_9.rgg,5070.0,5070.0,0.0,0.3791
500_r0c14_nw100_ew100_0.rgg,13124.0,12012.0,8.473026516306003,1500.3051
500_r0c14_nw100_ew100_1.rgg,13244.0,12034.0,9.136212624584719,1500.2304
500_r0c14_nw100_ew100_2.rgg,13951.0,12465.0,10.651566195971615,1500.3256
500_r0c14_nw100_ew100_3.rgg,13155.0,11867.0,9.790954009882174,1500.5069
500_r0c14_nw100_ew100_4.rgg,13462.0,12294.0,8.676273956321499,1500.4670
500_r0c14_nw100_ew100_5.rgg,13173.0,12202.0,7.371137933652168,1500.3534
500_r0c14_nw100_ew100_6.rgg,13511.0,12402.0,8.208126711568351,1500.3725
500_r0c14_nw100_ew100_7.rgg,13506.0,12069.0,10.639715681919148,1500.4204
500_r0c14_nw100_ew100_8.rgg,13172.0,11929.0,9.436683874886121,1500.2797
500_r0c14_nw100_ew100_9.rgg,13372.0,12164.0,9.033801974274605,1500.3035
500_r0c14_nw10_ew1000_0.rgg,110638.0,97862.0,11.547569551148792,1500.3567
500_r0c14_nw10_ew1000_1.rgg,113781.0,97634.0,14.19129731677521,1500.3884
500_r0c14_nw10_ew1000_2.rgg,112124.0,99642.0,11.132317791017087,1497.6820
500_r0c14_nw10_ew1000_3.rgg,108626.0,97084.0,10.625448787583084,1500.4352
500_r0c14_nw10_ew1000_4.rgg,114304.0,98447.0,13.872655375139978,1500.3882
500_r0c14_nw10_ew1000_5.rgg,110032.0,95663.0,13.05892831176385,1500.4204
500_r0c14_nw10_ew1000_6.rgg,113471.0,99740.0,12.100889213984189,1500.4115
500_r0c14_nw10_ew1000_7.rgg,114656.0,100617.07396056745,12.244388465874053,1500.3748
500_r0c14_nw10_ew1000_8.rgg,111451.0,97604.0,12.424294084395832,1500.4597
500_r0c14_nw10_ew1000_9.rgg,114194.0,98594.0,13.660962922745504,1500.5273
