instance,best_obj,lower_bound,gap_percent,total_time
200_r0c14_nw1000_ew10_0.rgg,4471.0000,4471.0000,0.00,0.1211
200_r0c14_nw1000_ew10_1.rgg,5473.0000,5473.0000,0.00,0.0866
200_r0c14_nw1000_ew10_2.rgg,5669.0000,5669.0000,0.00,0.0845
200_r0c14_nw1000_ew10_3.rgg,5721.0000,5721.0000,0.00,0.0832
200_r0c14_nw1000_ew10_4.rgg,4798.0000,4798.0000,0.00,0.0875
200_r0c14_nw1000_ew10_5.rgg,5900.0000,5900.0000,0.00,0.0977
200_r0c14_nw1000_ew10_6.rgg,6438.0000,6438.0000,0.00,0.0896
200_r0c14_nw1000_ew10_7.rgg,4216.0000,4216.0000,0.00,0.0796
200_r0c14_nw1000_ew10_8.rgg,4135.0000,4135.0000,0.00,0.0911
200_r0c14_nw1000_ew10_9.rgg,5585.0000,5585.0000,0.00,0.1109
200_r0c14_nw100_ew100_0.rgg,6189.0000,6189.0000,0.00,0.6786
200_r0c14_nw100_ew100_1.rgg,6149.0000,6149.0000,0.00,0.4573
200_r0c14_nw100_ew100_2.rgg,5638.0000,5638.0000,0.00,0.5123
200_r0c14_nw100_ew100_3.rgg,5605.0000,5605.0000,0.00,0.4285
200_r0c14_nw100_ew100_4.rgg,6305.0000,6305.0000,0.00,0.7119
200_r0c14_nw100_ew100_5.rgg,6014.0000,6014.0000,0.00,0.5863
200_r0c14_nw100_ew100_6.rgg,5946.0000,5946.0000,0.00,0.6112
200_r0c14_nw100_ew100_7.rgg,6237.0000,6237.0000,0.00,0.4004
200_r0c14_nw100_ew100_8.rgg,5867.0000,5867.0000,0.00,0.2864
200_r0c14_nw100_ew100_9.rgg,5636.0000,5636.0000,0.00,0.6072
200_r0c14_nw10_ew1000_0.rgg,42373.0000,42373.0000,0.00,0.4617
200_r0c14_nw10_ew1000_1.rgg,45400.0000,45400.0000,0.00,0.6892
200_r0c14_nw10_ew1000_2.rgg,43617.0000,43617.0000,0.00,0.9697
200_r0c14_nw10_ew1000_3.rgg,47999.0000,47999.0000,0.00,0.8228
200_r0c14_nw10_ew1000_4.rgg,44792.0000,44792.0000,0.00,0.7893
200_r0c14_nw10_ew1000_5.rgg,40396.0000,40396.0000,0.00,0.3932
200_r0c14_nw10_ew1000_6.rgg,44228.0000,44226.0000,0.00,0.4290
200_r0c14_nw10_ew1000_7.rgg,44559.0000,44559.0000,0.00,0.9205
200_r0c14_nw10_ew1000_8.rgg,39296.0000,39296.0000,0.00,0.6162
200_r0c14_nw10_ew1000_9.rgg,40097.0000,40097.0000,0.00,0.6175
