instance,best_obj,lower_bound,gap_percent,total_time
350_r0c14_nw1000_ew10_0.rgg,5012.0000,5012.0000,0.00,0.3365
350_r0c14_nw1000_ew10_1.rgg,4546.0000,4546.0000,0.00,0.2706
350_r0c14_nw1000_ew10_2.rgg,4454.0000,4454.0000,0.00,0.3163
350_r0c14_nw1000_ew10_3.rgg,4906.0000,4906.0000,0.00,0.2881
350_r0c14_nw1000_ew10_4.rgg,5334.0000,5334.0000,0.00,0.6199
350_r0c14_nw1000_ew10_5.rgg,5045.0000,5045.0000,0.00,0.3078
350_r0c14_nw1000_ew10_6.rgg,4251.0000,4251.0000,0.00,0.3103
350_r0c14_nw1000_ew10_7.rgg,3946.0000,3946.0000,0.00,0.3249
350_r0c14_nw1000_ew10_8.rgg,4351.0000,4351.0000,0.00,0.3400
350_r0c14_nw1000_ew10_9.rgg,4299.0000,4299.0000,0.00,0.4349
350_r0c14_nw100_ew100_0.rgg,10018.0000,10018.0000,0.00,104.1693
350_r0c14_nw100_ew100_1.rgg,9179.0000,9179.0000,0.00,39.5870
350_r0c14_nw100_ew100_2.rgg,9348.0000,9348.0000,0.00,63.2798
350_r0c14_nw100_ew100_3.rgg,9948.0000,9948.0000,0.00,84.2349
350_r0c14_nw100_ew100_4.rgg,9678.0000,9678.0000,0.00,114.5886
350_r0c14_nw100_ew100_5.rgg,9883.0000,9883.0000,0.00,83.9293
350_r0c14_nw100_ew100_6.rgg,9378.0000,9378.0000,0.00,76.1061
350_r0c14_nw100_ew100_7.rgg,9316.0000,9316.0000,0.00,75.5080
350_r0c14_nw100_ew100_8.rgg,9618.0000,9618.0000,0.00,103.2894
350_r0c14_nw100_ew100_9.rgg,9692.0000,9692.0000,0.00,66.6022
350_r0c14_nw10_ew1000_0.rgg,80872.0000,80872.0000,0.00,201.9639
350_r0c14_nw10_ew1000_1.rgg,77930.0000,77930.0000,0.00,98.7983
350_r0c14_nw10_ew1000_2.rgg,73842.0000,73842.0000,0.00,163.9980
350_r0c14_nw10_ew1000_3.rgg,80955.0000,80955.0000,0.00,436.4392
350_r0c14_nw10_ew1000_4.rgg,75434.0000,75434.0000,0.00,312.3492
350_r0c14_nw10_ew1000_5.rgg,79231.0000,79231.0000,0.00,116.8751
350_r0c14_nw10_ew1000_6.rgg,76488.0000,76488.0000,0.00,81.3478
350_r0c14_nw10_ew1000_7.rgg,71729.0000,71729.0000,0.00,95.3305
350_r0c14_nw10_ew1000_8.rgg,78920.0000,78920.0000,0.00,162.2810
350_r0c14_nw10_ew1000_9.rgg,78711.0000,78711.0000,0.00,90.9344
